GO Term	Aeropyrum_pernix	Aquifex_aeolicus	Archaeoglobus_fulgidus	Canarchaeum_symbisosum	Escherichia_coli	Haladaptatus_paucihalophilus	Halalkalicoccus_jeotgali	Hyperthermus_butylicus	Methanoccus_jannaschii	Methanococcoides_burtonii	Methanococcoides_methylutens	Methanopyrus_kandleri	Methanosarcina_lacustris	Methanothermus_fervidus	Micrococcus_lueus	Nanohaloarchea_archaeon	Nitrosopumulis_maritimus	Pseudomonas_aeruginosa	Pyrococcus_feriosus	Pyrodicitium_abyssi	Pyrolobus_fumarii	Salmonella_enterica	Staphylococcus_aureus	Sulfolobus_acidocaldarius	Thermocrinis_minerv	Thermocrinus_ruber	Thermotoga_maritima
GO:1904736	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
GO:0051675	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0051671	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0
GO:0051670	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0009612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	48	0	0
GO:2000308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	1	0	0	0	0
GO:1903299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	2	0	0
GO:0018244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3053	0	0	0	0	0
GO:0018247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0
GO:0018246	0	0	0	0	0	0	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0018248	0	0	0	0	0	4500	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
GO:2001120	0	0	0	0	0	55	0	0	1156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019597	0	0	0	3501	0	1	0	0	0	0	0	0	2351	0	0	0	0	0	0	0	0	0	563	0	0	0	0
GO:0019594	0	0	0	48	0	2	0	0	1	0	1	0	29	0	0	0	0	0	0	0	0	0	20	0	0	0	0
GO:0019593	0	0	0	1	0	0	0	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0007279	0	0	0	0	0	3	0	1	0	3277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0060972	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	1759	0	0	0	0	0	0	0	0	0	0	0
GO:0060973	0	1645	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
GO:0060975	0	0	0	3	1410	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0007272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	0	0	0	0	0	0	0
GO:1901257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2535	0	0	0	0	0	0	0	0	0
GO:1901254	0	0	0	0	0	0	0	0	0	0	0	0	0	598	0	0	0	106	0	0	0	0	0	0	0	0	0
GO:1901255	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1403	0	0
GO:1901259	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
GO:0021869	0	0	6	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	1242	0	0	2383	0	0	0
GO:0061158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3523	0	0	0	0	0	0	0	0	0	0	0	0
GO:0021865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0
GO:0052712	0	0	0	0	0	1	0	0	0	0	1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
